Frame,Visibility,X,Y,Hit,Hit_position_x,Hit_position_y,Top_x,Top_y,Bot_x,Bot_y,Top_box_lefttop,Top_box_rightbot,Bot_box_lefttop,Bot_box_rightbot
86,1,1130,316,0,0,0,118,281,98,429,"[356, 167]","[377, 250]","[124, 169]","[143, 204]"
87,1,1179,333,0,0,0,112,282,205,385,"[355, 167]","[377, 248]","[122, 166]","[146, 230]"
88,1,1221,356,0,0,0,99,283,204,386,"[353, 163]","[379, 244]","[121, 167]","[145, 229]"
89,1,1266,388,0,0,0,102,283,203,387,"[353, 162]","[379, 245]","[121, 168]","[144, 229]"
90,1,1298,422,Top,1385,779,105,282,148,412,"[353, 159]","[380, 246]","[119, 166]","[139, 215]"
91,1,1196,380,0,0,0,125,280,94,438,"[352, 157]","[379, 252]","[118, 165]","[134, 202]"
92,1,1081,312,0,0,0,125,280,88,441,"[349, 156]","[381, 252]","[118, 165]","[134, 201]"
93,1,983,257,0,0,0,125,280,94,439,"[350, 158]","[382, 252]","[118, 165]","[133, 202]"
94,1,882,221,0,0,0,123,281,94,438,"[348, 164]","[379, 251]","[118, 166]","[134, 202]"
95,1,831,211,0,0,0,117,282,94,439,"[347, 165]","[378, 249]","[118, 166]","[133, 202]"
96,1,780,206,0,0,0,111,283,88,441,"[348, 170]","[376, 247]","[119, 165]","[133, 201]"
97,1,743,211,0,0,0,109,284,127,422,"[347, 174]","[373, 246]","[120, 166]","[136, 210]"
98,1,712,219,0,0,0,96,286,167,403,"[347, 167]","[371, 242]","[121, 167]","[139, 220]"
99,1,686,234,0,0,0,114,285,207,385,"[346, 174]","[368, 247]","[122, 168]","[142, 230]"
100,1,661,253,0,0,0,104,286,99,430,"[345, 171]","[369, 244]","[125, 166]","[140, 204]"
101,1,640,276,0,0,0,104,286,209,383,"[343, 169]","[370, 244]","[123, 167]","[145, 231]"
102,1,623,299,0,0,0,113,285,193,387,"[343, 170]","[368, 246]","[127, 165]","[148, 227]"
103,1,610,331,0,0,0,122,285,131,410,"[343, 172]","[367, 249]","[129, 164]","[147, 213]"
104,1,599,358,0,0,0,125,284,70,434,"[343, 172]","[368, 250]","[132, 163]","[147, 200]"
105,1,587,394,0,0,0,130,283,0,0,"[343, 170]","[369, 252]","[0, 0]","[0, 0]"
106,1,580,428,Bot,0,0,136,283,0,0,"[343, 166]","[369, 254]","[0, 0]","[0, 0]"
107,1,657,426,0,0,0,130,283,0,0,"[343, 168]","[370, 252]","[0, 0]","[0, 0]"
108,1,752,394,0,0,0,127,283,0,0,"[344, 170]","[370, 251]","[0, 0]","[0, 0]"
109,1,833,373,0,0,0,130,283,0,0,"[344, 170]","[371, 252]","[0, 0]","[0, 0]"
110,1,905,361,0,0,0,126,283,0,0,"[344, 171]","[371, 251]","[0, 0]","[0, 0]"
111,1,966,352,0,0,0,127,283,69,434,"[343, 172]","[371, 251]","[133, 163]","[149, 200]"
112,1,1026,354,0,0,0,127,284,75,432,"[343, 172]","[370, 251]","[133, 163]","[148, 201]"
113,1,1081,361,0,0,0,133,283,81,430,"[342, 170]","[370, 253]","[132, 163]","[148, 202]"
114,1,1132,377,0,0,0,133,283,76,432,"[342, 170]","[370, 253]","[131, 164]","[148, 201]"
115,1,1175,396,0,0,0,133,283,76,432,"[342, 171]","[370, 253]","[131, 163]","[148, 201]"
116,1,1221,420,0,0,0,133,283,65,437,"[342, 170]","[370, 253]","[131, 162]","[147, 199]"
117,1,1262,449,0,0,0,140,282,72,436,"[342, 171]","[368, 255]","[129, 162]","[146, 200]"
118,1,1298,487,Top,1344,810,143,282,72,436,"[342, 170]","[369, 256]","[129, 161]","[146, 200]"
119,0,0,0,0,0,0,143,282,72,436,"[342, 169]","[369, 256]","[129, 162]","[146, 200]"
120,1,983,392,0,0,0,144,283,71,435,"[341, 172]","[364, 256]","[130, 163]","[146, 200]"
121,1,899,373,0,0,0,148,283,72,436,"[340, 174]","[363, 257]","[129, 164]","[146, 200]"
122,1,829,365,0,0,0,145,283,66,438,"[341, 173]","[361, 256]","[129, 163]","[145, 199]"
123,1,775,361,0,0,0,152,283,66,438,"[339, 169]","[359, 258]","[129, 164]","[145, 199]"
124,1,727,365,0,0,0,149,284,66,438,"[339, 169]","[359, 257]","[129, 164]","[145, 199]"
125,1,690,377,0,0,0,149,284,60,441,"[338, 170]","[359, 257]","[129, 164]","[146, 198]"
126,1,657,390,0,0,0,152,283,60,440,"[338, 170]","[359, 258]","[129, 165]","[147, 198]"
127,1,625,409,0,0,0,155,283,0,0,"[337, 170]","[359, 259]","[0, 0]","[0, 0]"
128,1,603,432,0,0,0,147,284,0,0,"[337, 170]","[359, 256]","[0, 0]","[0, 0]"
129,1,582,458,0,0,0,146,284,0,0,"[338, 171]","[359, 256]","[0, 0]","[0, 0]"
130,1,563,485,0,0,0,149,284,0,0,"[338, 172]","[360, 257]","[0, 0]","[0, 0]"
131,0,0,0,0,0,0,151,283,0,0,"[338, 173]","[362, 258]","[0, 0]","[0, 0]"
132,0,0,0,0,0,0,150,282,0,0,"[338, 175]","[366, 258]","[0, 0]","[0, 0]"
133,1,501,631,0,0,0,149,282,77,421,"[339, 173]","[369, 258]","[142, 167]","[158, 203]"
134,1,482,677,0,0,0,151,281,82,419,"[340, 173]","[370, 259]","[143, 167]","[160, 204]"
135,1,468,730,Bot,576,642,154,280,75,420,"[341, 174]","[370, 260]","[144, 165]","[161, 203]"
136,1,463,724,0,0,0,154,280,75,420,"[341, 172]","[370, 260]","[144, 165]","[161, 203]"
137,1,463,711,0,0,0,154,280,75,420,"[341, 173]","[370, 260]","[145, 165]","[161, 203]"
138,1,461,709,0,0,0,151,281,69,421,"[341, 171]","[371, 259]","[146, 163]","[161, 202]"
139,1,466,711,0,0,0,154,281,63,424,"[340, 173]","[370, 260]","[145, 164]","[161, 201]"
140,1,470,715,0,0,0,144,283,64,424,"[339, 176]","[367, 256]","[145, 164]","[160, 201]"
141,1,470,726,0,0,0,147,282,75,420,"[340, 177]","[365, 257]","[145, 164]","[160, 203]"
142,1,472,738,0,0,0,148,283,87,416,"[340, 175]","[360, 257]","[144, 165]","[160, 205]"
143,1,470,738,0,0,0,146,284,82,419,"[337, 173]","[360, 256]","[143, 166]","[160, 204]"
144,1,466,736,0,0,0,150,284,82,419,"[337, 172]","[359, 257]","[143, 167]","[159, 204]"
145,1,465,741,0,0,0,153,284,77,421,"[336, 172]","[359, 258]","[142, 167]","[159, 203]"
146,1,463,743,0,0,0,153,284,73,424,"[335, 173]","[358, 258]","[140, 169]","[158, 202]"
