Frame,Visibility,X,Y,Hit,Hit_position_x,Hit_position_y,Top_x,Top_y,Bot_x,Bot_y,Top_box_lefttop,Top_box_rightbot,Bot_box_lefttop,Bot_box_rightbot
0,1,777,580,0,0,0,177,272,0,0,"[357, 175]","[384, 272]","[0, 0]","[0, 0]"
1,1,805,527,0,0,0,177,272,0,0,"[357, 180]","[383, 272]","[0, 0]","[0, 0]"
2,1,824,472,0,0,0,185,272,0,0,"[355, 179]","[381, 275]","[0, 0]","[0, 0]"
3,1,847,420,0,0,0,181,273,-59,439,"[355, 176]","[378, 273]","[173, 160]","[189, 187]"
4,1,637,525,Bot,684,623,179,274,14,415,"[354, 174]","[377, 272]","[174, 161]","[188, 197]"
5,1,888,348,0,0,0,173,275,-58,440,"[350, 177]","[376, 269]","[172, 160]","[188, 187]"
6,1,905,329,0,0,0,174,276,0,0,"[348, 178]","[376, 269]","[0, 0]","[0, 0]"
7,1,924,314,0,0,0,177,276,0,0,"[344, 176]","[376, 270]","[0, 0]","[0, 0]"
8,1,945,310,0,0,0,173,277,0,0,"[341, 172]","[375, 268]","[0, 0]","[0, 0]"
9,1,966,314,0,0,0,175,278,0,0,"[342, 175]","[370, 268]","[0, 0]","[0, 0]"
10,1,983,329,0,0,0,166,280,0,0,"[339, 178]","[366, 264]","[0, 0]","[0, 0]"
11,1,667,671,Top,1319,839,171,281,0,0,"[339, 177]","[359, 265]","[0, 0]","[0, 0]"
12,1,1015,377,0,0,0,161,283,0,0,"[335, 181]","[358, 261]","[0, 0]","[0, 0]"
13,1,1032,418,0,0,0,161,284,0,0,"[329, 184]","[356, 260]","[0, 0]","[0, 0]"
14,1,1045,466,0,0,0,163,286,0,0,"[325, 184]","[352, 260]","[0, 0]","[0, 0]"
15,1,1060,517,0,0,0,184,285,0,0,"[318, 177]","[348, 267]","[0, 0]","[0, 0]"
16,1,669,665,0,0,0,193,284,0,0,"[312, 175]","[348, 270]","[0, 0]","[0, 0]"
17,1,657,671,Top,1236,867,204,284,0,0,"[301, 176]","[353, 274]","[0, 0]","[0, 0]"
18,1,918,437,0,0,0,216,282,48,419,"[299, 175]","[353, 279]","[156, 166]","[172, 200]"
19,1,858,382,0,0,0,208,284,42,422,"[308, 182]","[341, 275]","[155, 166]","[172, 199]"
20,1,814,348,0,0,0,223,285,0,0,"[300, 175]","[333, 280]","[0, 0]","[0, 0]"
21,1,765,323,0,0,0,217,286,0,0,"[299, 178]","[330, 277]","[0, 0]","[0, 0]"
22,1,743,316,0,0,0,211,287,0,0,"[299, 183]","[330, 274]","[0, 0]","[0, 0]"
23,1,648,489,Top,1191,874,215,287,0,0,"[300, 180]","[330, 276]","[0, 0]","[0, 0]"
24,0,0,0,0,0,0,215,287,0,0,"[299, 181]","[331, 276]","[0, 0]","[0, 0]"
25,0,0,0,0,0,0,221,284,0,0,"[303, 179]","[336, 280]","[0, 0]","[0, 0]"
26,1,593,489,0,0,0,225,283,0,0,"[305, 175]","[336, 282]","[0, 0]","[0, 0]"
27,1,673,375,0,0,0,232,281,0,0,"[307, 173]","[338, 286]","[0, 0]","[0, 0]"
28,1,667,399,0,0,0,218,283,0,0,"[308, 177]","[341, 280]","[0, 0]","[0, 0]"
29,1,663,426,Top,1238,880,213,282,0,0,"[310, 181]","[345, 278]","[0, 0]","[0, 0]"
30,0,0,0,0,0,0,216,281,0,0,"[310, 180]","[350, 280]","[0, 0]","[0, 0]"
31,1,743,363,0,0,0,214,280,0,0,"[309, 181]","[356, 280]","[0, 0]","[0, 0]"
32,1,799,306,0,0,0,210,279,29,426,"[310, 182]","[364, 279]","[156, 163]","[173, 197]"
33,1,848,259,0,0,0,211,278,36,424,"[315, 183]","[365, 280]","[155, 164]","[171, 198]"
34,1,899,221,0,0,0,207,278,0,0,"[319, 184]","[366, 279]","[0, 0]","[0, 0]"
35,1,945,200,0,0,0,208,277,0,0,"[322, 185]","[369, 280]","[0, 0]","[0, 0]"
36,1,988,183,0,0,0,201,278,0,0,"[322, 190]","[370, 277]","[0, 0]","[0, 0]"
37,1,1030,179,0,0,0,199,277,0,0,"[328, 189]","[371, 277]","[0, 0]","[0, 0]"
38,1,1066,183,0,0,0,198,276,0,0,"[335, 187]","[370, 277]","[0, 0]","[0, 0]"
39,1,1102,192,0,0,0,195,276,0,0,"[334, 182]","[371, 276]","[0, 0]","[0, 0]"
40,1,1138,215,0,0,0,193,276,0,0,"[335, 184]","[371, 275]","[0, 0]","[0, 0]"
41,1,1172,242,0,0,0,196,275,0,0,"[339, 181]","[373, 277]","[0, 0]","[0, 0]"
42,1,606,665,Bot,0,0,191,275,0,0,"[341, 180]","[373, 275]","[0, 0]","[0, 0]"
43,1,1230,325,0,0,0,197,274,0,0,"[342, 180]","[374, 278]","[0, 0]","[0, 0]"
44,1,648,578,Bot,0,0,206,273,0,0,"[344, 180]","[372, 282]","[0, 0]","[0, 0]"
45,1,1281,428,0,0,0,211,272,0,0,"[348, 181]","[371, 285]","[0, 0]","[0, 0]"
46,1,1302,491,Top,1361,918,221,270,0,0,"[347, 180]","[373, 290]","[0, 0]","[0, 0]"
47,0,0,0,0,0,0,225,270,82,419,"[345, 179]","[374, 292]","[141, 168]","[160, 204]"
48,0,0,0,0,0,0,224,270,67,426,"[344, 181]","[375, 291]","[141, 167]","[158, 201]"
49,1,795,320,0,0,0,233,269,74,425,"[344, 176]","[374, 296]","[139, 166]","[156, 202]"
50,1,691,289,0,0,0,223,270,81,424,"[348, 177]","[373, 291]","[138, 166]","[155, 203]"
51,1,616,276,0,0,0,233,269,84,424,"[349, 173]","[372, 296]","[135, 167]","[152, 203]"
52,1,557,272,0,0,0,222,270,88,425,"[350, 176]","[374, 291]","[133, 168]","[150, 203]"
53,1,506,272,0,0,0,227,269,92,426,"[352, 174]","[375, 294]","[131, 169]","[148, 204]"
54,1,461,285,0,0,0,223,269,95,427,"[354, 174]","[374, 292]","[128, 168]","[145, 204]"
55,1,429,297,0,0,0,218,270,186,390,"[352, 178]","[374, 289]","[124, 171]","[150, 225]"
56,1,402,318,0,0,0,227,268,145,412,"[351, 172]","[377, 294]","[120, 170]","[141, 214]"
57,1,376,344,0,0,0,231,268,105,434,"[350, 174]","[379, 296]","[117, 169]","[133, 204]"
58,0,0,0,0,0,0,213,269,0,0,"[352, 181]","[384, 288]","[0, 0]","[0, 0]"
59,1,336,403,0,0,0,220,267,0,0,"[354, 181]","[388, 292]","[0, 0]","[0, 0]"
60,1,321,441,0,0,0,223,266,0,0,"[357, 179]","[390, 294]","[0, 0]","[0, 0]"
61,1,310,475,Bot,406,646,206,268,122,445,"[357, 186]","[393, 286]","[100, 169]","[115, 204]"
62,1,364,453,0,0,0,211,266,0,0,"[359, 181]","[394, 289]","[0, 0]","[0, 0]"
63,1,457,367,0,0,0,211,266,0,0,"[360, 176]","[394, 289]","[0, 0]","[0, 0]"
64,1,544,308,0,0,0,217,265,0,0,"[362, 168]","[394, 292]","[0, 0]","[0, 0]"
65,1,623,259,0,0,0,210,266,188,427,"[363, 173]","[394, 289]","[85, 178]","[102, 216]"
66,1,695,225,0,0,0,208,266,191,425,"[363, 174]","[395, 288]","[85, 180]","[103, 217]"
67,1,758,204,0,0,0,200,267,233,404,"[362, 178]","[395, 284]","[80, 173]","[108, 229]"
68,1,824,187,0,0,0,197,268,235,399,"[360, 178]","[393, 282]","[85, 170]","[113, 231]"
69,1,871,183,0,0,0,189,270,233,398,"[358, 180]","[390, 278]","[86, 169]","[117, 231]"
70,1,920,192,0,0,0,193,270,144,438,"[357, 178]","[386, 279]","[95, 170]","[114, 208]"
71,1,971,204,0,0,0,196,271,135,437,"[355, 177]","[382, 280]","[103, 167]","[116, 207]"
72,1,1011,225,0,0,0,199,271,119,441,"[354, 176]","[380, 281]","[105, 167]","[119, 204]"
73,1,1051,253,0,0,0,180,274,104,445,"[349, 175]","[378, 272]","[107, 168]","[123, 202]"
74,1,1090,293,0,0,0,173,277,113,439,"[345, 178]","[374, 268]","[109, 168]","[125, 204]"
75,1,1124,333,0,0,0,182,277,104,439,"[340, 176]","[372, 271]","[112, 169]","[129, 203]"
76,1,1155,382,0,0,0,173,279,107,435,"[336, 177]","[372, 267]","[115, 170]","[132, 204]"
77,1,1181,432,0,0,0,186,279,100,436,"[324, 183]","[372, 271]","[118, 166]","[133, 203]"
78,1,1211,494,Top,1302,858,188,280,93,438,"[320, 182]","[369, 271]","[119, 165]","[134, 202]"
79,0,0,0,0,0,0,184,281,0,0,"[318, 182]","[368, 269]","[0, 0]","[0, 0]"
80,0,0,0,0,0,0,189,281,0,0,"[315, 179]","[368, 271]","[0, 0]","[0, 0]"
81,0,0,0,0,0,0,191,281,0,0,"[317, 180]","[361, 271]","[0, 0]","[0, 0]"
82,0,0,0,0,0,0,189,282,215,381,"[322, 182]","[354, 270]","[125, 162]","[143, 233]"
83,1,1060,456,0,0,0,196,283,88,435,"[318, 179]","[350, 272]","[124, 166]","[140, 202]"
84,1,971,371,0,0,0,192,284,94,433,"[319, 181]","[347, 270]","[124, 165]","[139, 203]"
85,1,881,291,0,0,0,192,284,104,428,"[318, 179]","[346, 270]","[125, 167]","[140, 205]"
86,1,818,247,0,0,0,192,284,200,385,"[317, 178]","[346, 270]","[128, 164]","[146, 229]"
87,1,784,230,0,0,0,194,283,91,430,"[318, 178]","[348, 271]","[127, 166]","[143, 203]"
88,1,754,221,0,0,0,189,284,87,430,"[317, 179]","[350, 269]","[128, 165]","[143, 202]"
89,1,727,217,0,0,0,193,281,84,431,"[317, 179]","[361, 272]","[130, 164]","[144, 202]"
90,1,703,223,0,0,0,194,280,0,0,"[317, 181]","[366, 273]","[0, 0]","[0, 0]"
91,1,680,234,0,0,0,196,280,0,0,"[318, 181]","[367, 274]","[0, 0]","[0, 0]"
92,1,663,251,0,0,0,199,278,0,0,"[321, 181]","[368, 276]","[0, 0]","[0, 0]"
93,1,650,272,0,0,0,190,278,0,0,"[327, 181]","[371, 273]","[0, 0]","[0, 0]"
94,1,637,297,0,0,0,180,277,0,0,"[339, 181]","[370, 270]","[0, 0]","[0, 0]"
95,1,629,325,0,0,0,176,277,0,0,"[343, 180]","[371, 269]","[0, 0]","[0, 0]"
96,1,620,358,0,0,0,174,275,0,0,"[351, 178]","[374, 269]","[0, 0]","[0, 0]"
97,1,612,392,0,0,0,182,274,62,436,"[353, 177]","[376, 273]","[133, 163]","[150, 199]"
98,1,608,430,0,0,0,203,270,56,438,"[354, 174]","[381, 283]","[133, 163]","[150, 198]"
99,0,0,0,0,0,0,193,270,50,440,"[356, 178]","[385, 279]","[134, 164]","[150, 197]"
100,1,767,441,Bot,536,620,199,269,43,443,"[357, 174]","[387, 282]","[134, 164]","[150, 196]"
101,0,0,0,0,0,0,178,271,51,441,"[358, 175]","[389, 273]","[132, 165]","[148, 197]"
102,1,1003,420,0,0,0,168,271,64,437,"[362, 184]","[394, 270]","[131, 167]","[148, 199]"
