Frame,Visibility,X,Y,Hit,Hit_position_x,Hit_position_y,Top_x,Top_y,Bot_x,Bot_y,Top_box_lefttop,Top_box_rightbot,Bot_box_lefttop,Bot_box_rightbot
0,1,593,681,0,0,0,192,285,0,0,"[314, 178]","[343, 269]","[0, 0]","[0, 0]"
1,0,0,0,0,0,0,191,285,0,0,"[314, 178]","[344, 269]","[0, 0]","[0, 0]"
2,0,0,0,0,0,0,196,284,0,0,"[313, 177]","[345, 271]","[0, 0]","[0, 0]"
3,0,0,0,0,0,0,194,285,0,0,"[313, 177]","[345, 270]","[0, 0]","[0, 0]"
4,0,0,0,0,0,0,194,285,0,0,"[313, 177]","[345, 270]","[0, 0]","[0, 0]"
5,0,0,0,0,0,0,192,286,0,0,"[312, 178]","[343, 269]","[0, 0]","[0, 0]"
6,0,0,0,0,0,0,192,286,0,0,"[311, 178]","[343, 269]","[0, 0]","[0, 0]"
7,1,1034,485,0,0,0,195,286,74,419,"[310, 176]","[342, 270]","[146, 166]","[162, 203]"
8,1,945,420,0,0,0,193,286,69,422,"[310, 178]","[340, 269]","[145, 166]","[161, 202]"
9,1,879,377,0,0,0,193,286,0,0,"[312, 178]","[340, 269]","[0, 0]","[0, 0]"
10,1,822,348,0,0,0,195,285,0,0,"[314, 179]","[340, 270]","[0, 0]","[0, 0]"
11,1,778,331,0,0,0,194,285,0,0,"[314, 178]","[341, 270]","[0, 0]","[0, 0]"
12,1,737,323,0,0,0,191,285,0,0,"[316, 179]","[343, 269]","[0, 0]","[0, 0]"
13,0,0,0,0,0,0,183,286,73,424,"[320, 181]","[342, 266]","[140, 169]","[157, 202]"
14,0,0,0,0,0,0,192,284,70,428,"[320, 179]","[343, 270]","[137, 165]","[153, 201]"
15,1,646,352,0,0,0,204,282,68,433,"[320, 175]","[344, 275]","[134, 162]","[149, 200]"
16,1,627,371,0,0,0,222,279,74,431,"[320, 169]","[346, 284]","[134, 164]","[148, 201]"
17,1,610,399,0,0,0,216,280,63,436,"[320, 173]","[347, 281]","[133, 164]","[148, 199]"
18,1,595,424,0,0,0,220,279,57,439,"[320, 172]","[349, 283]","[133, 164]","[148, 198]"
19,1,587,458,Bot,527,627,218,279,58,439,"[320, 171]","[348, 282]","[131, 165]","[148, 198]"
20,1,597,409,0,0,0,206,280,65,437,"[321, 178]","[351, 277]","[131, 166]","[147, 199]"
21,1,699,413,0,0,0,205,280,83,431,"[322, 181]","[356, 277]","[129, 169]","[147, 202]"
22,1,782,380,0,0,0,208,278,89,429,"[323, 180]","[358, 279]","[128, 169]","[146, 203]"
23,1,847,356,0,0,0,210,278,90,430,"[324, 181]","[359, 280]","[127, 170]","[145, 203]"
24,1,911,339,0,0,0,211,277,90,430,"[324, 181]","[362, 281]","[127, 168]","[145, 203]"
25,1,969,331,0,0,0,203,279,84,432,"[319, 182]","[365, 277]","[128, 165]","[145, 202]"
26,1,1022,331,0,0,0,203,279,84,431,"[318, 182]","[365, 277]","[129, 164]","[145, 202]"
27,1,565,597,0,0,0,208,278,84,432,"[317, 182]","[366, 279]","[128, 164]","[145, 202]"
28,1,561,605,Bot,516,646,202,280,95,427,"[316, 184]","[364, 276]","[129, 165]","[144, 204]"
29,1,1170,386,0,0,0,204,279,101,426,"[317, 182]","[364, 277]","[128, 165]","[144, 205]"
30,1,510,694,Bot,514,649,202,279,101,426,"[317, 181]","[364, 276]","[128, 165]","[144, 205]"
31,1,1253,458,0,0,0,204,279,106,424,"[322, 182]","[358, 277]","[128, 165]","[143, 206]"
32,1,491,698,Bot,508,649,209,279,102,426,"[319, 181]","[360, 279]","[127, 166]","[142, 205]"
33,1,1085,390,0,0,0,208,278,204,384,"[324, 179]","[358, 279]","[127, 162]","[145, 230]"
34,1,975,323,0,0,0,208,278,103,427,"[324, 182]","[359, 279]","[126, 167]","[142, 205]"
35,1,898,289,0,0,0,207,278,203,386,"[324, 180]","[360, 279]","[123, 166]","[143, 229]"
36,1,837,261,0,0,0,204,278,104,428,"[326, 182]","[362, 278]","[124, 169]","[141, 205]"
37,1,794,251,0,0,0,201,278,104,428,"[328, 181]","[363, 277]","[124, 169]","[140, 205]"
38,1,750,244,0,0,0,189,279,99,430,"[329, 184]","[363, 272]","[124, 169]","[140, 204]"
39,1,716,253,0,0,0,194,277,86,433,"[335, 181]","[366, 275]","[126, 167]","[142, 202]"
40,1,691,261,0,0,0,200,276,80,435,"[338, 180]","[366, 278]","[127, 168]","[143, 201]"
41,1,671,276,0,0,0,198,276,202,383,"[339, 179]","[366, 277]","[128, 168]","[148, 230]"
42,1,652,295,0,0,0,205,275,195,385,"[338, 178]","[366, 280]","[127, 168]","[150, 228]"
43,1,637,320,0,0,0,203,276,194,385,"[336, 180]","[365, 279]","[130, 166]","[150, 228]"
44,1,625,344,0,0,0,205,277,75,432,"[332, 181]","[363, 279]","[133, 164]","[148, 201]"
45,1,618,373,0,0,0,188,279,75,429,"[333, 180]","[363, 272]","[136, 162]","[150, 201]"
46,1,606,403,0,0,0,188,278,75,426,"[334, 180]","[363, 272]","[139, 160]","[153, 202]"
47,1,601,432,Bot,553,633,193,278,64,430,"[335, 180]","[363, 274]","[139, 161]","[154, 200]"
48,0,0,0,0,0,0,194,277,69,428,"[336, 180]","[364, 275]","[140, 162]","[154, 201]"
49,1,707,386,0,0,0,197,277,86,421,"[337, 180]","[363, 276]","[140, 164]","[154, 204]"
50,1,775,344,0,0,0,179,278,85,421,"[338, 181]","[366, 269]","[140, 165]","[155, 204]"
51,1,835,314,0,0,0,176,279,90,418,"[337, 181]","[368, 268]","[141, 165]","[156, 205]"
52,1,892,293,0,0,0,158,281,84,420,"[336, 182]","[369, 261]","[141, 160]","[156, 204]"
53,1,945,276,0,0,0,155,281,84,420,"[336, 182]","[369, 260]","[141, 160]","[156, 204]"
54,1,990,272,0,0,0,156,282,88,417,"[334, 181]","[369, 260]","[142, 162]","[158, 205]"
55,1,1037,272,0,0,0,156,282,93,415,"[334, 181]","[368, 260]","[143, 162]","[158, 206]"
56,1,1085,282,0,0,0,159,281,123,404,"[335, 182]","[367, 261]","[142, 159]","[158, 212]"
57,1,1123,297,0,0,0,165,281,113,408,"[333, 178]","[367, 263]","[142, 158]","[158, 210]"
58,1,1164,323,0,0,0,172,281,94,415,"[330, 175]","[364, 265]","[143, 160]","[157, 206]"
59,1,1206,356,0,0,0,164,282,94,415,"[330, 177]","[364, 262]","[143, 161]","[157, 206]"
60,1,1240,392,0,0,0,158,283,89,418,"[331, 179]","[363, 260]","[142, 160]","[156, 205]"
61,1,1270,441,Top,1310,826,161,283,84,420,"[333, 181]","[360, 261]","[141, 163]","[156, 204]"
62,0,0,0,0,0,0,162,283,85,421,"[331, 183]","[360, 261]","[140, 162]","[155, 204]"
63,0,0,0,0,0,0,169,282,85,421,"[332, 181]","[361, 264]","[140, 160]","[155, 204]"
64,1,915,314,0,0,0,172,281,81,424,"[332, 181]","[361, 265]","[139, 161]","[154, 203]"
65,1,828,291,0,0,0,172,281,81,424,"[332, 180]","[362, 265]","[139, 162]","[154, 203]"
66,1,758,272,0,0,0,168,281,75,425,"[335, 181]","[364, 264]","[139, 164]","[155, 202]"
67,1,703,266,0,0,0,158,281,80,423,"[341, 183]","[366, 261]","[139, 166]","[155, 203]"
68,1,661,268,0,0,0,162,280,74,428,"[342, 181]","[367, 263]","[136, 164]","[152, 201]"
69,1,627,276,0,0,0,170,279,69,434,"[342, 178]","[367, 266]","[133, 163]","[149, 200]"
70,1,595,291,0,0,0,165,280,63,436,"[342, 180]","[366, 264]","[133, 161]","[148, 199]"
71,1,572,308,0,0,0,160,280,70,435,"[343, 181]","[366, 262]","[131, 161]","[147, 200]"
72,1,550,333,0,0,0,173,278,73,437,"[341, 180]","[369, 267]","[128, 160]","[144, 200]"
73,1,535,358,0,0,0,183,277,92,431,"[339, 181]","[370, 271]","[125, 163]","[142, 203]"
74,1,519,388,0,0,0,183,277,84,437,"[337, 182]","[368, 271]","[123, 163]","[139, 201]"
75,1,512,420,0,0,0,184,277,80,441,"[336, 183]","[366, 271]","[120, 162]","[136, 200]"
76,1,506,449,Bot,476,630,185,278,77,445,"[335, 185]","[365, 271]","[118, 162]","[134, 199]"
77,1,576,388,0,0,0,185,278,85,445,"[335, 182]","[365, 271]","[114, 165]","[132, 200]"
78,1,614,339,0,0,0,183,279,110,437,"[335, 182]","[364, 270]","[112, 168]","[129, 204]"
79,0,0,0,0,0,0,180,279,106,440,"[335, 182]","[365, 269]","[110, 168]","[128, 203]"
80,1,701,278,0,0,0,176,280,108,441,"[331, 181]","[365, 267]","[107, 169]","[127, 203]"
81,1,741,263,0,0,0,179,280,113,439,"[330, 180]","[364, 268]","[107, 169]","[126, 204]"
82,1,777,255,0,0,0,180,280,120,438,"[330, 180]","[363, 268]","[105, 170]","[124, 205]"
83,1,814,259,0,0,0,181,281,199,402,"[329, 180]","[360, 268]","[104, 169]","[127, 224]"
84,1,848,270,0,0,0,176,282,111,444,"[329, 182]","[358, 266]","[104, 170]","[123, 203]"
85,1,881,291,0,0,0,173,284,112,444,"[328, 184]","[353, 264]","[103, 169]","[121, 203]"
86,1,915,318,0,0,0,160,286,113,445,"[326, 186]","[353, 259]","[102, 169]","[120, 203]"
87,1,943,352,0,0,0,187,284,113,445,"[319, 179]","[347, 268]","[102, 169]","[120, 203]"
88,1,973,394,0,0,0,188,285,113,445,"[318, 181]","[345, 268]","[102, 170]","[120, 203]"
89,1,1000,441,0,0,0,187,286,112,444,"[310, 182]","[345, 267]","[103, 170]","[121, 203]"
90,1,1030,508,0,0,0,199,285,111,444,"[305, 180]","[349, 272]","[104, 170]","[123, 203]"
91,1,1049,563,Top,1228,874,210,284,121,439,"[300, 177]","[350, 276]","[105, 170]","[123, 205]"
92,1,1002,551,0,0,0,203,285,121,439,"[300, 180]","[350, 273]","[105, 170]","[123, 205]"
93,1,909,441,0,0,0,199,287,121,439,"[298, 179]","[340, 270]","[105, 171]","[123, 205]"
94,1,847,375,0,0,0,195,290,121,439,"[296, 178]","[331, 267]","[105, 170]","[123, 205]"
95,1,799,331,0,0,0,185,292,217,395,"[297, 179]","[331, 263]","[104, 168]","[126, 229]"
96,1,761,306,0,0,0,180,293,125,436,"[298, 181]","[327, 261]","[107, 171]","[123, 206]"
97,1,735,289,0,0,0,188,292,209,397,"[298, 178]","[326, 264]","[105, 172]","[128, 227]"
98,1,708,280,0,0,0,193,291,208,396,"[299, 181]","[327, 266]","[105, 172]","[130, 227]"
99,1,688,282,0,0,0,200,290,205,394,"[300, 182]","[327, 269]","[107, 171]","[137, 227]"
100,1,674,293,0,0,0,204,289,208,393,"[299, 184]","[329, 271]","[108, 171]","[137, 228]"
101,1,665,301,0,0,0,202,289,148,414,"[299, 184]","[329, 270]","[115, 169]","[138, 215]"
102,1,652,323,0,0,0,201,288,89,435,"[302, 177]","[330, 270]","[123, 168]","[140, 202]"
103,1,640,348,0,0,0,189,289,195,389,"[305, 174]","[335, 266]","[122, 168]","[146, 227]"
104,1,635,371,0,0,0,191,288,152,405,"[306, 175]","[335, 267]","[125, 161]","[147, 216]"
105,1,629,399,0,0,0,189,287,126,411,"[308, 178]","[339, 267]","[130, 161]","[149, 211]"
106,1,625,432,0,0,0,188,287,100,418,"[310, 179]","[343, 267]","[135, 161]","[151, 206]"
107,1,623,466,Bot,555,639,188,285,75,425,"[313, 180]","[347, 268]","[140, 162]","[154, 202]"
